#%result_name=Analysis_1
#%array_type=Immune-response
#%annotation=Immune-response.transcript.csv
#%comparison=Y vs N
ID	Y Avg (log2)	N Avg (log2)	Fold Change	P-val	FDR P-val	Gene Symbol	Description
ITGAE_33753481	16.27	16.24	1.02	0.6554	0.9746	ITGAE	integrin_alpha_E_antigen_CD103_human_mucosal_lymphocyte_antigen_1_alpha_polypeptide
TNFAIP8_188295	18.23	18.54	-1.24	0.6604	0.9746	TNFAIP8	tumor_necrosis_factor_alpha-induced_protein_8
PGF_742842	12.67	12.45	1.16	0.6621	0.9746	PGF	placental_growth_factor
HMBS_796904	18.78	18.84	-1.04	0.6625	0.9746	HMBS	hydroxymethylbilane_synthase
ITGAL_535638	20.72	20.81	-1.06	0.6648	0.9746	ITGAL	integrin_alpha_L_antigen_CD11A_p180_lymphocyte_function-associated_antigen_1_alpha_polypeptide
HGF_14151518	16.67	16.72	-1.04	0.6674	0.9746	HGF	hepatocyte_growth_factor_hepapoietin_A_scatter_factor
SKAP2_809912	22.23	22.12	1.08	0.6701	0.9746	SKAP2	src_kinase_associated_phosphoprotein_2
NFKBIA_734840	21.74	21.61	1.09	0.6735	0.9746	NFKBIA	nuclear_factor_of_kappa_light_polypeptide_gene_enhancer_in_B-cells_inhibitor_alpha
FOXO1_9761081	20.4	20.31	1.07	0.6741	0.9746	FOXO1	forkhead_box_O1
TIGIT_383491	18.09	18.46	-1.28	0.6743	0.9746	TIGIT	T_cell_immunoreceptor_with_Ig_and_ITIM_domains
KLRK1_698804	20.18	20.23	-1.03	0.6751	0.9746	KLRK1	killer_cell_lectin-like_receptor_subfamily_K_member_1
NFATC1_27682875	16.35	16.32	1.03	0.6787	0.9746	NFATC1	nuclear_factor_of_activated_T-cells_cytoplasmic_calcineurin-dependent_1
TCF7_677799	20.69	20.81	-1.09	0.6848	0.9746	TCF7	transcription_factor_7_isoform_1
IFNA17_691788	10.97	12	-2.05	0.6853	0.9746	IFNA17	interferon_alpha_17
IL2_366451	10.62	10.42	1.15	0.6882	0.9746	IL2	interleukin-2_precursor
TNFRSF9_894998	18.2	18	1.15	0.6937	0.9746	TNFRSF9	tumor_necrosis_factor_receptor_superfamily_member_9
HLA-F_101204	19.88	19.74	1.1	0.6953	0.9746	HLA-F	major_histocompatibility_complex_class_I_F
BRCA2_98179922	15.97	15.88	1.07	0.6953	0.9746	BRCA2	breast_cancer_2_early_onset
HLA-F-AS1_726834	13.53	13.42	1.08	0.6958	0.9746	HLA-F-AS1	HLA-F_antisense_RNA_1
GRAP2_283387	21.2	21.04	1.12	0.6976	0.9746	GRAP2	GRB2-related_adaptor_protein_2
MADCAM1_9291024	15.37	14.92	1.37	0.6981	0.9746	MADCAM1	mucosal_vascular_addressin_cell_adhesion_molecule_1
TBP_259367	19.14	19.21	-1.05	0.6985	0.9746	TBP	TATA_box_binding_protein
GAGE10_137250	11.77	11.91	-1.11	0.7009	0.9746	GAGE10	G_antigen_10
STAT1_18871996	22.63	22.63	1	0.7016	0.9746	STAT1	signal_transducer_and_activator_of_transcription_1_91kDa
CD244_868973	18.86	19.14	-1.22	0.7028	0.9746	CD244	CD244_molecule_natural_killer_cell_receptor_2B4
TLR7_99206	18.75	19.11	-1.29	0.7066	0.9746	TLR7	toll-like_receptor_7
IL17A_233320	10.51	10.12	1.31	0.7130	0.9746	IL17A	interleukin-17A_precursor
HLA-G_483585	11.27	10.76	1.42	0.7151	0.9746	HLA-G	major_histocompatibility_complex_class_I_G
PIK3CA_12781384	20.02	20.02	-1	0.7154	0.9746	PIK3CA	phosphatidylinositol-4_5-bisphosphate_3-kinase_catalytic_subunit_alpha
IL13_268378	10.61	10.47	1.1	0.7172	0.9746	IL13	interleukin_13
LRG1_24131	21.31	21.27	1.03	0.7175	0.9746	LRG1	leucine-rich_alpha-2-glycoprotein_1
TLR3_24932595	13.81	13.73	1.06	0.7181	0.9746	TLR3	toll-like_receptor_3
IFNB1_579686	12.23	12.19	1.03	0.7201	0.9746	IFNB1	interferon_beta_1_fibroblast
KIR2DL1_9142	12.03	12.79	-1.7	0.7206	0.9746	KIR2DL1	killer_cell_immunoglobulin-like_receptor_2DL1_precursor
CCR5_85193	17.93	18.38	-1.37	0.7212	0.9746	CCR5	chemokine_C-C_motif_receptor_5_gene_pseudogene
HLA-DRA_186294	23.83	24.27	-1.35	0.7215	0.9746	HLA-DRA	major_histocompatibility_complex_class_II_DR_alpha
CLEC4C_322429	13.03	14.14	-2.17	0.7238	0.9746	CLEC4C	C-type_lectin_domain_family_4_member_C
CD247_152252	20.57	20.95	-1.31	0.7242	0.9746	CD247	CD247_molecule
CD8B_403510	18.97	19.75	-1.71	0.7248	0.9746	CD8B	CD8b_molecule
BTLA_227334	18.9	18.79	1.08	0.7257	0.9746	BTLA	B_and_T_lymphocyte_associated
CD226_9021006	20.94	20.71	1.17	0.7264	0.9746	CD226	CD226_molecule
PTEN_19732078	22.41	22.38	1.02	0.7289	0.9746	PTEN	phosphatase_and_tensin_homolog
STAT3_17511856	22.29	22.09	1.15	0.7293	0.9746	STAT3	signal_transducer_and_activator_of_transcription_3_acute-phase_response_factor
TNFSF9_325412	12.53	12.62	-1.06	0.7331	0.9746	TNFSF9	tumor_necrosis_factor_ligand_superfamily_member_9
FOXM1_10551166	16.67	16.44	1.17	0.7352	0.9746	FOXM1	forkhead_box_M1
CSF2RB_11971301	24.02	23.79	1.17	0.7425	0.9746	CSF2RB	colony_stimulating_factor_2_receptor_beta_low-affinity_granulocyte-macrophage
KLRD1_515619	20.19	20.23	-1.03	0.7426	0.9746	KLRD1	killer_cell_lectin-like_receptor_subfamily_D_member_1
CD4_147255	20.15	20.95	-1.74	0.7426	0.9746	CD4	CD4_molecule
CD79A_184290	21.38	21.23	1.11	0.7442	0.9746	CD79A	CD79a_molecule_immunoglobulin-associated_alpha
TP63_143246	12.41	12.47	-1.05	0.7445	0.9746	TP63	tumor_protein_p63
CXCR3_11138	13.39	13.44	-1.04	0.7482	0.9746	CXCR3	C-X-C_chemokine_receptor_type_3_isoform_1
CD40LG_479579	18.38	18.07	1.24	0.7489	0.9746	CD40LG	CD40_ligand
GATA3_14061514	18.06	18.04	1.01	0.7519	0.9746	GATA3	GATA_binding_protein_3
FCGR2B_792903	17.61	17.25	1.28	0.7523	0.9746	FCGR2B	Fc_fragment_of_IgG_low_affinity_IIb_receptor_CD32
IGF1R_12291338	21.38	21.21	1.13	0.7541	0.9746	IGF1R	insulin-like_growth_factor_1_receptor
IL2RB_9991107	19.92	20.05	-1.09	0.7549	0.9746	IL2RB	interleukin_2_receptor_beta
IRF9_12191322	21.85	21.78	1.05	0.7621	0.9746	IRF9	interferon_regulatory_factor_9
HLA-DPB1_175280	21.81	22.4	-1.5	0.7666	0.9746	HLA-DPB1	major_histocompatibility_complex_class_II_DP_beta_1
MMP2_11051213	11.26	11.19	1.05	0.7673	0.9746	MMP2	matrix_metallopeptidase_2_gelatinase_A_72kDa_gelatinase_72kDa_type_IV_collagenase
RB1_24592560	20.44	20.44	-1	0.7700	0.9746	RB1	retinoblastoma_1
CRTAM_312417	16.87	17	-1.09	0.7705	0.9746	CRTAM	cytotoxic_and_regulatory_T_cell_molecule
ZEB1_74175	19.23	19.13	1.07	0.7706	0.9746	ZEB1	zinc_finger_E-box_binding_homeobox_1
ALOX15B_13391445	14.93	14.77	1.12	0.7722	0.9746	ALOX15B	arachidonate_15-lipoxygenase_type_B
PRF1_672778	19.29	19.41	-1.09	0.7728	0.9746	PRF1	perforin_1_pore_forming_protein
POLR2A_42334334	20.48	20.07	1.33	0.7793	0.9746	POLR2A	polymerase_RNA_II_DNA_directed_polypeptide_A_220kDa
CD38_519628	18.56	18.45	1.08	0.7797	0.9746	CD38	CD38_molecule
CD19_12011317	17.61	17.58	1.03	0.7803	0.9746	CD19	B-lymphocyte_antigen_CD19_isoform_1_precursor
CD3G_616717	21.27	21.67	-1.32	0.7838	0.9746	CD3G	CD3g_molecule_gamma_CD3-TCR_complex
RORC_12011307	15.78	15.99	-1.15	0.7867	0.9746	RORC	RAR-related_orphan_receptor_C
IL7_545652	15.2	15.16	1.02	0.7882	0.9746	IL7	interleukin_7
TAGAP_10531160	23.49	23.31	1.13	0.7891	0.9746	TAGAP	T-cell_activation_RhoGTPase_activating_protein
GZMB_581688	20.24	20.56	-1.25	0.7902	0.9746	GZMB	granzyme_B_granzyme_2_cytotoxic_T-lymphocyte-associated_serine_esterase_1
CMKLR1_36143	13.12	13.84	-1.65	0.7962	0.9746	CMKLR1	chemokine-like_receptor_1
IKZF4_746852	13.64	13.78	-1.11	0.7978	0.9746	IKZF4	IKAROS_family_zinc_finger_4_Eos
BCL2L11_620729	19.36	19.23	1.1	0.7989	0.9746	BCL2L11	BCL2-like_11_apoptosis_facilitator
CCR4_76182	16.79	17.01	-1.16	0.8024	0.9746	CCR4	chemokine_C-C_motif_receptor_4
PTPN11_14261533	19.89	19.87	1.01	0.8024	0.9746	PTPN11	protein_tyrosine_phosphatase_non-receptor_type_11
KREMEN1_12861389	19.74	19.71	1.02	0.8080	0.9746	KREMEN1	kringle_containing_transmembrane_protein_1
CD274_461569	18.14	17.59	1.46	0.8084	0.9746	CD274	CD274_molecule
CA4_420530	21	20.76	1.18	0.8085	0.9746	CA4	carbonic_anhydrase_IV
PTPRC_710817	21.95	21.85	1.08	0.8107	0.9746	PTPRC	protein_tyrosine_phosphatase_receptor_type_C
MTOR_62366338	18.76	18.86	-1.07	0.8161	0.9746	MTOR	mechanistic_target_of_rapamycin_serine_threonine_kinase
IL21_368450	11.29	11.24	1.03	0.8172	0.9746	IL21	interleukin-21_isoform_1_precursor
IKZF3_427534	19.9	19.63	1.2	0.8178	0.9746	IKZF3	IKAROS_family_zinc_finger_3_Aiolos
ITGB7_24342544	19.41	19.72	-1.23	0.8194	0.9746	ITGB7	integrin_beta_7
ZBTB46_13361440	12.13	12.76	-1.55	0.8228	0.9746	ZBTB46	zinc_finger_and_BTB_domain_containing_46
CD6_17771886	18.54	18.93	-1.31	0.8237	0.9746	CD6	CD6_molecule
BATF_237345	19.83	19.72	1.08	0.8247	0.9746	BATF	basic_leucine_zipper_transcription_factor_ATF-like
CXCR2_379486	24.61	24.4	1.16	0.8271	0.9746	CXCR2	chemokine_C-X-C_motif_receptor_2
IL10RA_192296	21.9	22.14	-1.18	0.8277	0.9746	IL10RA	interleukin_10_receptor_alpha
MAPK1_13241425	21.75	21.67	1.06	0.8328	0.9777	MAPK1	mitogen-activated_protein_kinase_1
CCR2_385483	20.41	20.68	-1.21	0.8384	0.9782	CCR2	chemokine_C-C_motif_receptor_2
GPR18_238340	17.8	17.7	1.07	0.8386	0.9782	GPR18	G_protein-coupled_receptor_18
HLA-B_639746	17.57	15.36	4.63	0.8405	0.9782	HLA-B	major_histocompatibility_complex_class_I_B
KIR2DL3_654757	15.48	15.89	-1.33	0.8510	0.9831	KIR2DL3	killer_cell_immunoglobulin-like_receptor_2DL3_precursor
FCGR1A_547652	21.21	20.81	1.31	0.8510	0.9831	FCGR1A	Fc_fragment_of_IgG_high_affinity_Ia_receptor_CD64
CD163_21422245	19.81	20.08	-1.21	0.8556	0.9831	CD163	CD163_molecule
C10orf54_562672	24.46	24.46	1	0.8590	0.9831	C10orf54	chromosome_10_open_reading_frame_54
EOMES_9391044	19.04	19.1	-1.04	0.8600	0.9831	EOMES	eomesodermin
NKG7_557664	23.11	23.24	-1.09	0.8617	0.9831	NKG7	natural_killer_cell_group_7_sequence
CXCL1_357459	19.09	18.91	1.14	0.8621	0.9831	CXCL1	chemokine_C-X-C_motif_ligand_1_melanoma_growth_stimulating_activity_alpha
CD3E_677780	22.22	22.46	-1.19	0.8704	0.9886	CD3E	CD3e_molecule_epsilon_CD3-TCR_complex
SIT1_148254	19.24	19.5	-1.19	0.8740	0.9886	SIT1	signaling_threshold_regulating_transmembrane_adaptor_1
CX3CR1_35133	19.06	19.51	-1.36	0.8796	0.9886	CX3CR1	CX3C_chemokine_receptor_1_isoform_a
JAML_78188	22.13	22.03	1.08	0.8840	0.9886	JAML	junction_adhesion_molecule_like
LY9_13751476	17.34	17.47	-1.1	0.8846	0.9886	LY9	lymphocyte_antigen_9
KLF2_9111017	23.52	23.55	-1.02	0.8882	0.9886	KLF2	Kruppel-like_factor_2
CCR1_54149	21.53	21.55	-1.02	0.8882	0.9886	CCR1	chemokine_C-C_motif_receptor_1
HLA-DQA1_587686	19.18	20.04	-1.82	0.8910	0.9886	HLA-DQA1	major_histocompatibility_complex_class_II_DQ_alpha_1
PVR_9571064	18	17.99	1.01	0.8914	0.9886	PVR	poliovirus_receptor
CCL18_198296	11.08	11.23	-1.11	0.8937	0.9886	CCL18	chemokine_C-C_motif_ligand_18_pulmonary_and_activation-regulated
DGAT2_439548	22.16	21.88	1.21	0.8990	0.9886	DGAT2	diacylglycerol_O-acyltransferase_2
MYC_510619	19.9	20.06	-1.12	0.8994	0.9886	MYC	v-myc_avian_myelocytomatosis_viral_oncogene_homolog
VCAM1_829933	11.89	11.81	1.05	0.9016	0.9886	VCAM1	vascular_cell_adhesion_molecule_1
NCR1_754861	16.13	16.17	-1.03	0.9047	0.9886	NCR1	natural_cytotoxicity_triggering_receptor_1
TLR8_36137	22	21.86	1.11	0.9048	0.9886	TLR8	toll-like_receptor_8
KRT7_440543	10.63	10.88	-1.19	0.9066	0.9886	KRT7	keratin_7
MAD2L1_115221	16.89	17.05	-1.12	0.9099	0.9894	MAD2L1	MAD2_mitotic_arrest_deficient-like_1_yeast
ITGA1_814914	17.06	17.01	1.04	0.9144	0.9899	ITGA1	integrin_alpha_1
TNFSF4_347439	16.51	16.15	1.29	0.9175	0.9899	TNFSF4	tumor_necrosis_factor_ligand_superfamily_member_4
PTGS2_14761583	19.86	19.83	1.02	0.9188	0.9899	PTGS2	prostaglandin-endoperoxide_synthase_2_prostaglandin_G_H_synthase_and_cyclooxygenase
HIF1A_13371439	21.8	21.6	1.15	0.9203	0.9899	HIF1A	hypoxia_inducible_factor_1_alpha_subunit_basic_helix-loop-helix_transcription_factor
LILRB1_15681666	18.45	18.8	-1.27	0.9280	0.9905	LILRB1	leukocyte_immunoglobulin-like_receptor_subfamily_B_with_TM_and_ITIM_domains_member_1
KLRF1_188285	16.87	17.11	-1.18	0.9302	0.9905	KLRF1	killer_cell_lectin-like_receptor_subfamily_F_member_1
TNFRSF17_254359	16.64	16.47	1.13	0.9325	0.9905	TNFRSF17	tumor_necrosis_factor_receptor_superfamily_member_17
CD79B_484590	18.8	18.99	-1.14	0.9334	0.9905	CD79B	CD79b_molecule_immunoglobulin-associated_beta
IL6_521626	12.32	12.61	-1.22	0.9357	0.9905	IL6	interleukin_6_interferon_beta_2
ITGAX_20482151	22.26	22.2	1.04	0.9373	0.9905	ITGAX	integrin_alpha_X_complement_component_3_receptor_4_subunit
IKZF1_189301	22.5	22.56	-1.04	0.9427	0.9905	IKZF1	DNA-binding_protein_Ikaros_isoform_1
BCL6_21502257	24.04	23.83	1.15	0.9433	0.9905	BCL6	B-cell_CLL_lymphoma_6
PTPRCAP_383516	15.83	16.04	-1.15	0.9439	0.9905	PTPRCAP	protein_tyrosine_phosphatase_receptor_type_C-associated_protein_precursor
HLA-DRB1_877982	22.51	22.79	-1.21	0.9459	0.9905	HLA-DRB1	major_histocompatibility_complex_class_II_DR_beta_1
FOXP3_865975	17.07	17.24	-1.13	0.9482	0.9905	FOXP3	forkhead_box_P3
IL12A_739842	14.01	13.74	1.2	0.9545	0.9906	IL12A	interleukin_12A_natural_killer_cell_stimulatory_factor_1_cytotoxic_lymphocyte_maturation_factor_1_p35
SDHA_16361735	19.65	19.85	-1.15	0.9554	0.9906	SDHA	succinate_dehydrogenase_complex_subunit_A_flavoprotein_Fp
IL1B_659766	21.34	21.07	1.21	0.9557	0.9906	IL1B	interleukin_1_beta
CD14_329435	23.62	23.74	-1.08	0.9610	0.9934	CD14	CD14_molecule
IGSF6_411515	23.27	23.07	1.15	0.9675	0.9975	IGSF6	immunoglobulin_superfamily_member_6
PIK3CD_19842095	22.36	22.2	1.12	0.9724	0.9987	PIK3CD	phosphatidylinositol-4_5-bisphosphate_3-kinase_catalytic_subunit_delta
CD2_350452	20.99	20.9	1.07	0.9781	0.9987	CD2	CD2_molecule
LAPTM5_555664	25.54	25.49	1.04	0.9830	0.9987	LAPTM5	lysosomal_protein_transmembrane_5
CXCL13_202307	12.04	11.79	1.19	0.9843	0.9987	CXCL13	chemokine_C-X-C_motif_ligand_13
SLAMF7_9161020	20.21	20.24	-1.02	0.9884	0.9987	SLAMF7	SLAM_family_member_7
BCL2_10401144	19.16	19.19	-1.02	0.9901	0.9987	BCL2	B-cell_CLL_lymphoma_2
ITGB2_15421648	23.57	23.57	-1	0.9925	0.9987	ITGB2	integrin_beta_2_complement_component_3_receptor_3_and_4_subunit
TNFRSF18_348456	15.42	15.26	1.12	0.9930	0.9987	TNFRSF18	tumor_necrosis_factor_receptor_superfamily_member_18
CCL3_238343	16.36	16.52	-1.12	0.9945	0.9987	CCL3	chemokine_C-C_motif_ligand_3
CD83_480580	16.96	17.08	-1.09	0.9958	0.9987	CD83	CD83_molecule
CD8A_14271531	20.31	20.7	-1.31	0.9971	0.9987	CD8A	CD8a_molecule
ZAP70_673781	19.3	19.51	-1.16	0.9987	0.9987	ZAP70	zeta-chain_TCR_associated_protein_kinase_70kDa
